fips,state,county,lat,lon,total_population,area_sqmi,population_density_per_sqmi,percent_smokers,percent_adults_with_obesity,food_environment_index,percent_physically_inactive,percent_with_access_to_exercise_opportunities,percent_excessive_drinking,teen_birth_rate,num_uninsured,percent_uninsured,high_school_graduation_rate,num_some_college,population,percent_some_college,num_unemployed_CHR,labor_force,percent_unemployed_CHR,annual_average_violent_crimes,violent_crime_rate,life_expectancy,num_food_insecure,percent_food_insecure,median_household_income,num_homeowners,percent_homeowners,percent_less_than_18_years_of_age,percent_65_and_over,percent_female,num_rural,percent_rural,num_housing_units,num_households_CDC,num_below_poverty,num_unemployed_CDC,per_capita_income,num_no_highschool_diploma,num_age_65_and_older,num_age_17_and_younger,num_disabled,percent_below_poverty,percent_unemployed_CDC,percent_no_highschool_diploma,percent_age_65_and_older,percent_age_17_and_younger,percent_disabled,percentile_rank_below_poverty,percentile_rank_unemployed,percentile_rank_per_capita_income,percentile_rank_no_highschool_diploma,percentile_rank_socioeconomic_theme,percentile_rank_age_65_and_older,percentile_rank_age_17_and_younger,percentile_rank_disabled
1001,Alabama,Autauga,32.53492796,-86.64274781,55049,594.4461199,92.60553338,18.08155718,33.3,7.2,34.7,69.13012406,15.02603126,25.28492716,4093,8.721685951,90,8953,14438,62.00997368,942,25957,3.629078861,148.5,272.2822201,76.87947717,7270,13.2,59338,15814,74.89462467,23.67403464,15.56266974,51.44871495,22921,42.00216232,22714,20800,6697,1437,26168,4528,7695,13853,10009,12.3,5.6,12.4,14,25.2,18.4,0.2824,0.3298,0.3607,0.4744,0.3298,0.1964,0.8313,0.738
1003,Alabama,Baldwin,30.72748899,-87.72257524,199510,1589.807425,125.4931867,17.4890326,31,8,26.5,73.71354895,17.9583101,27.88069221,19119,11.33340447,86.3615768,32812,48703,67.37161982,3393,93849,3.615382156,408,203.6603963,78.45025837,23560,11.6,57588,57881,73.61934319,21.60791113,20.44334975,51.53837686,77060,42.27909911,107579,75149,25551,5887,28069,13956,37338,44270,27390,13,6.3,10,18.7,22.2,13.9,0.3317,0.4241,0.2448,0.2999,0.2881,0.6437,0.4476,0.3521
1005,Alabama,Barbour,31.86958881,-85.39321291,26614,884.875776,30.07653811,21.99998453,41.7,5.6,23.5,53.16676986,12.84401555,40.87081536,2136,12.24279246,81.41025641,2363,6779,34.85764862,433,8373,5.171384211,105.5,414.2778607,75.34193493,5760,22,34382,5640,61.39777923,20.86732848,19.4204413,47.21675174,18613,67.7896347,11802,9122,6235,1323,17249,4824,4399,5735,5086,26.4,12.8,26.2,16.5,21.5,21.5,0.9261,0.9526,0.9491,0.9551,0.9768,0.4174,0.3617,0.8937
1007,Alabama,Bibb,32.99863415,-87.12648014,22572,622.5823549,36.25544448,19.11419989,37.6,7.8,33.5,16.25136374,15.57004237,41.69679441,1727,10.20625259,83.76383764,2635,5970,44.13735343,344,8661,3.971827734,19.5,89.34912598,73.57182028,3240,14.3,46064,5135,75.07309942,20.47767857,16.47321429,46.78125,15663,68.35260746,8972,7048,3390,643,18988,3040,3360,4756,3039,16.5,7.1,19.3,14.9,21.1,14.8,0.5536,0.5425,0.8819,0.7781,0.7393,0.2585,0.3088,0.4419
1009,Alabama,Blount,33.9808782,-86.56738341,57704,644.806508,89.4904119,19.20867197,33.8,8.4,30.3,15.63448589,14.23059383,33.5345953,6333,13.36075949,93.46879536,7438,13939,53.36107325,878,25006,3.511157322,279,482.6906109,74.1458259,6140,10.7,50412,16197,78.62621359,23.15352697,18.23651452,50.72614108,51562,89.95150204,23850,20619,9441,1367,21033,7882,9921,13601,8538,16.5,6,20,17.2,23.6,14.9,0.5536,0.3792,0.7504,0.8058,0.6609,0.4909,0.6466,0.4527
1011,Alabama,Bullock,32.10053438,-85.71568627,10552,622.8053585,16.94269302,22.89466401,37.2,4.3,24.6,2.501374382,12.09410123,47.91666667,803,11.44037612,70.24793388,951,2719,34.97609415,224,4776,4.690117253,33,311.0273327,73.53089479,2600,24.8,29267,2726,75.53338875,21.07910831,16.38390215,45.48234366,5607,51.37438153,4462,3556,2728,638,17909,2452,1597,2274,1786,26.9,13.3,33.4,15.1,21.6,17.6,0.9335,0.9599,0.9293,0.9901,0.9812,0.2732,0.362,0.6864
1013,Alabama,Butler,31.75241781,-86.68030288,20280,776.8280471,26.10616349,21.76533496,43.3,6.6,39.5,48.57974889,11.85740343,37.88610039,1759,11.18600954,81.58995816,2011,4825,41.67875648,427,8914,4.790217635,116.5,581.5840052,72.9183092,4160,20.6,37365,4692,69.94633274,22.24593496,20.29979675,53.42987805,14921,71.23215735,9914,7675,5126,849,19011,2642,3676,4733,3885,25.7,9.8,18.9,18.1,23.3,19.4,0.9147,0.8335,0.8803,0.7644,0.9067,0.5845,0.6151,0.7943
1015,Alabama,Calhoun,33.77143651,-85.82603459,115883,605.8887948,191.2611704,20.61256038,38.5,6.9,31.7,47.7212158,13.84223015,33.53461699,11021,11.92916752,92.36804565,17099,28862,59.24398864,2139,45972,4.652832159,871,756.0665443,73.03910859,18100,15.7,45400,31286,69.47349721,21.60977275,17.71747596,51.94658593,39955,33.69682556,53326,45071,22135,6218,22231,13894,18461,25641,23383,19.6,11.7,17.7,15.9,22.1,20.4,0.7348,0.9258,0.659,0.73,0.8179,0.3575,0.4349,0.8469
1017,Alabama,Chambers,32.91435287,-85.39203349,34018,596.5311116,57.02636348,19.39292705,40.1,6.4,30.1,61.86467923,12.74573462,45.44100119,3208,11.93807681,86.23853211,3714,7664,48.46033403,597,15276,3.908091123,180.5,528.9997362,74.29107603,6070,17.9,39917,9159,67.7641314,20.80023799,19.52104715,52.12553919,16816,49.14803449,16905,13851,6805,1136,21532,4708,6255,7283,5960,20.3,7.5,19.7,18.4,21.4,17.7,0.7644,0.5947,0.7122,0.7934,0.7689,0.6151,0.3467,0.689
1019,Alabama,Cherokee,34.17592601,-85.60380039,25897,553.719701,46.76915044,17.49867379,35,8.3,31.3,33.42952788,14.10656285,36.56876094,2219,11.17264992,94.9044586,2823,5446,51.83621006,415,11622,3.570813974,86,330.438792,73.99883376,3230,12.5,42132,8374,78.95530832,19.16871543,22.97172711,50.46097111,22282,85.73627304,16260,10999,4188,634,22544,3499,5263,5326,5482,16.4,5.9,18.7,20.3,20.6,21.4,0.5466,0.3677,0.6351,0.7599,0.6008,0.773,0.2572,0.8905
